G	I	J	A	M	Y	N	O	P	U   
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1

G	I	J	A	M	Y	N	O	P	U   
1	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50
0.50	1	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50
0.50	0.50	1	0.50	0.50	0.50	0.50	0.50	0.50	0.50
0.50	0.50	0.50	1	0.50	0.50	0.50	0.50	0.50	0.50
0.50	0.50	0.50	0.50	1	0.50	0.50	0.50	0.50	0.50
0.50	0.50	0.50	0.50	0.50	1	0.50	0.50	0.50	0.50
0.50	0.50	0.50	0.50	0.50	0.50	1	0.50	0.50	0.50
0.50	0.50	0.50	0.50	0.50	0.50	0.50	1	0.50	0.50
0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	1	0.50
0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	0.50	1

G	I	J	A	M	Y	N	O	P	U   
1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
0.25	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
0.25	0.25	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25
0.25	0.25	0.25	1	0.25	0.25	0.25	0.25	0.25	0.25
0.25	0.25	0.25	0.25	1	0.25	0.25	0.25	0.25	0.25
0.25	0.25	0.25	0.25	0.25	1	0.25	0.25	0.25	0.25
0.25	0.25	0.25	0.25	0.25	0.25	1	0.25	0.25	0.25
0.25	0.25	0.25	0.25	0.25	0.25	0.25	1	0.25	0.25
0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	1	0.25
0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	1

END
