sp,lat,lon
"Cebus_apella",-13.05527,-71.54506
"Cebus_apella",-25.6898,-54.44421
"Cebus_apella",5.33823,-59.94595
"Cebus_apella",-20.26606,-56.30459
"Cebus_apella",-9.87792,-56.09711
"Cebus_apella",-9.5976,-55.93115
"Cebus_apella",-20.11444,-55.95419
"Cebus_apella",-25.66005,-54.50238
"Cebus_apella",-25.69796,-54.21961
"Cebus_apella",-25.68119,-54.21764
"Cebus_apella",-25.68034,-54.31106
"Cebus_apella",-25.68194,-54.31138
"Cebus_apella",-25.68398,-54.19914
"Cebus_apella",-25.67276,-54.25179
"Cebus_apella",-25.70669,-54.41978
"Cebus_apella",-25.67278,-54.41594
"Cebus_apella",-25.67515,-54.41477
"Cebus_apella",-25.68489,-54.41556
"Cebus_apella",-25.69082,-54.32404
"Cebus_apella",-25.68117,-54.27166
"Cebus_apella",-25.59777,-54.37955
"Cebus_apella",-25.68174,-54.41866
"Cebus_apella",-25.61914,-54.34602
"Cebus_apella",-25.66438,-54.42108
"Cebus_apella",-25.60372,-54.36728
"Cebus_apella",-25.68408,-54.4168
"Cebus_apella",-25.59653,-54.37293
"Cebus_apella",-25.67949,-54.42137
"Cebus_apella",-25.62105,-54.3447
"Cebus_apella",4.60917,-67.86444
"Cebus_apella",-19.83194,-40.36972
"Cebus_apella",-25.69973,-54.16888
"Cebus_apella",-25.68582,-54.16518
"Cebus_apella",1.41667,-58.95
"Cebus_apella",-25.6816,-54.45107
"Cebus_apella",-25.60077,-54.53768
"Cebus_apella",1.65639,-76.18694
"Cebus_apella",1.67444,-76.07389
"Cebus_apella",-9.59833,-55.93619
"Cebus_apella",4.51667,-68.08334
"Cebus_apella",-23.69944,-64.8658
"Cebus_apella",-13.26807,-68.5625
"Cebus_apella",-25.68425,-54.44764
"Cebus_apella",-25.65527,-54.45756
"Cebus_apella",-23.7426,-64.85277
"Cebus_apella",-25.69388,-54.43045
"Cebus_apella",-23.75927,-64.85032
"Cebus_apella",-25.68155,-54.22016
"Cebus_apella",-25.68409,-54.44675
"Cebus_apella",-25.68385,-54.44569
"Cebus_apella",-25.68436,-54.44663
"Cebus_apella",3.192,-58.812
"Cebus_apella",3.268,-58.779
"Cebus_apella",-22.95227,-43.21176
"Cebus_apella",-25.68712,-54.68712
"Cebus_apella",-25.6872,-54.44576
"Cebus_apella",-25.69075,-54.47803
"Cebus_apella",-25.98251,-54.1149
"Cebus_apella",-3.35583,-54.94944
"Cebus_apella",-11.78,-73.341
"Cebus_apella",-15.1,-67.51667
"Cebus_apella",4.58333,-73.41667
"Cebus_apella",4.28333,-58.51667
"Cebus_apella",-11.56,-73.641
"Cebus_apella",-15.11667,-67.13333
"Cebus_apella",7.36667,-60.48333
"Cebus_apella",-17.15,-65.62
"Cebus_apella",-24.13333,-56.93333
"Cebus_apella",-24.13333,-55.53333
"Cebus_apella",-24.16667,-56.96667
