sp,lat,lon
"Aburria_aburri",-0.36101,-78.83138
"Aburria_aburri",-13.0593,-71.54432
"Aburria_aburri",0.11838,-78.61205
"Aburria_aburri",5.24002,-76.10247
"Aburria_aburri",-0.58984,-77.88129
"Aburria_aburri",-0.67696,-77.59884
"Aburria_aburri",4.72228,-75.57667
"Aburria_aburri",-6.43489,-76.30565
"Aburria_aburri",6.98878,-75.12022
"Aburria_aburri",6.97997,-75.11918
"Aburria_aburri",6.85219,-73.37683
"Aburria_aburri",-6.41591,-76.31783
"Aburria_aburri",5.11074,-76.09717
"Aburria_aburri",5.80666,-76.18155
"Aburria_aburri",0.12083,-78.63847
"Aburria_aburri",-0.03081,-78.76446
"Aburria_aburri",4.72852,-75.57794
"Aburria_aburri",5.17985,-76.11053
"Aburria_aburri",-0.73116,-77.75884
"Aburria_aburri",5.23038,-76.08375
"Aburria_aburri",6.29585,-74.84646
"Aburria_aburri",10.36268,-72.94918
"Aburria_aburri",6.97802,-73.4479
"Aburria_aburri",1.34421,-77.28361
"Aburria_aburri",-0.00129,-78.67697
"Aburria_aburri",4.70951,-75.48964
"Aburria_aburri",0.35978,-77.51299
"Aburria_aburri",4.6753,-75.62789
"Aburria_aburri",5.2663,-72.85412
"Aburria_aburri",-0.60492,-77.88809
"Aburria_aburri",11.12224,-74.07926
"Aburria_aburri",0.1307,-78.66666
"Aburria_aburri",0.01117,-78.6774
"Aburria_aburri",6.07699,-73.15025
"Aburria_aburri",4.73015,-75.57534
"Aburria_aburri",0.12512,-78.71088
"Aburria_aburri",1.23295,-76.7189
"Aburria_aburri",-0.05105,-78.77839
"Aburria_aburri",-0.04892,-78.76742
"Aburria_aburri",-0.06042,-78.78468
"Aburria_aburri",-0.62295,-77.83813
"Aburria_aburri",-5.69787,-77.81035
"Aburria_aburri",-0.02439,-78.76986
"Aburria_aburri",-0.01691,-78.68768
"Aburria_aburri",-0.03021,-78.73824
"Aburria_aburri",4.70663,-75.53886
"Aburria_aburri",3.79985,-73.89655
"Aburria_aburri",-12.87021,-71.37564
"Aburria_aburri",-10.707,-74.139
"Aburria_aburri",-0.02927,-78.75099
"Aburria_aburri",0.16613,-78.87888
"Aburria_aburri",-0.02515,-78.75798
"Aburria_aburri",-0.08144,-78.76878
"Aburria_aburri",-10.706,-74.149
"Aburria_aburri",0.05295,-78.84311
"Aburria_aburri",-13.03499,-71.52388
"Aburria_aburri",-12.97113,-71.42432
"Aburria_aburri",-0.01592,-78.68121
"Aburria_aburri",6.82843,-73.38095
"Aburria_aburri",-0.05044,-78.77395
"Aburria_aburri",-0.02674,-78.76363
"Aburria_aburri",0.00376,-78.6784
"Aburria_aburri",6.98375,-75.11169
"Aburria_aburri",0.02965,-78.6944
"Aburria_aburri",4.70206,-75.53586
"Aburria_aburri",0.0293,-78.68095
"Aburria_aburri",0.00725,-78.71086
"Aburria_aburri",-6.45703,-76.28617
"Aburria_aburri",0.00235,-78.67598
"Aburria_aburri",0.1232,-78.62168
"Aburria_aburri",6.8678,-75.1087
"Aburria_aburri",-0.81946,-77.955
"Aburria_aburri",9.456,-69.74082
"Aburria_aburri",-5.67482,-77.70393
"Aburria_aburri",1.21184,-76.69813
"Aburria_aburri",4.71098,-75.48594
"Aburria_aburri",-6.71657,-77.86835
"Aburria_aburri",0.05176,-78.90251
"Aburria_aburri",-6.73113,-76.24036
"Aburria_aburri",5.23697,-76.08563
"Aburria_aburri",-4.2169,-78.66718
"Aburria_aburri",-0.02816,-78.82286
"Pipile_cujubi",-16.50466,-56.6754
"Pipile_cujubi",-16.37861,-56.62083
"Pipile_cujubi",-9.59753,-55.93148
"Pipile_cujubi",-9.56669,-55.91394
"Pipile_cujubi",-6.05043,-50.07019
"Pipile_cujubi",-9.61459,-55.93222
"Pipile_cujubi",-9.69685,-50.43663
"Pipile_cujubi",-13.5407,-56.63152
"Pipile_cujubi",-9.24665,-55.98796
"Pipile_cujubi",-9.59726,-55.93111
"Pipile_cujubi",-9.31425,-56.04778
"Pipile_cujubi",-17.31495,-56.71826
"Pipile_cujubi",-8.4945,-60.96197
"Pipile_cujubi",-16.6207,-56.73531
"Pipile_cujubi",-9.5988,-55.93371
"Pipile_cujubi",-9.53813,-55.90323
"Pipile_cujubi",-9.64066,-55.93158
"Pipile_cujubi",-16.51224,-56.71177
"Pipile_cujubi",-6.06433,-50.05938
"Pipile_cujubi",-16.47674,-56.67558
"Pipile_cujubi",-16.50277,-56.74521
"Pipile_cujubi",-9.59677,-55.93147
"Pipile_cujubi",-9.59825,-55.93181
"Pipile_cujubi",-9.5978,-55.93245
"Pipile_cujubi",-9.69878,-55.88252
"Pipile_cujubi",-16.51241,-56.71147
"Pipile_cujubi",-9.76523,-56.03096
"Pipile_cujubi",-9.58565,-55.91984
"Pipile_cujubi",-9.63322,-55.93933
"Pipile_cujubi",-16.74579,-56.85677
"Pipile_cujubi",-9.63917,-56.00294
"Pipile_cujubi",-9.61133,-55.93466
"Pipile_cujubi",-9.59075,-55.92237
"Pipile_cujubi",-9.59871,-55.93673
"Pipile_cujubi",-9.57328,-55.92145
"Pipile_cujubi",-9.64512,-55.92069
"Pipile_cujubi",-16.7481,-56.85747
"Pipile_cujubi",-16.37981,-56.65631
"Pipile_cujubi",-17.28263,-56.69881
"Pipile_cujubi",-9.59704,-55.94693
"Pipile_cujubi",-16.56447,-56.71761
"Pipile_cujubi",-17.36452,-56.77511
"Pipile_cujubi",-16.45692,-56.69135
"Pipile_cujubi",-9.55925,-56.32472
"Pipile_cujubi",-17.19083,-56.92253
"Pipile_cujubi",-9.59548,-55.93264
"Pipile_cujubi",-17.10272,-56.94305
"Pipile_cujubi",-16.56899,-56.7273
"Pipile_cujubi",-9.60181,-55.93571
"Pipile_cujubi",-9.61079,-55.9372
"Pipile_cujubi",-9.59072,-55.93017
"Pipile_cujubi",-14.69848,-56.25418
"Pipile_cujubi",-9.5856,-55.91878
"Pipile_cujubi",-9.64243,-55.92217
"Pipile_cujubi",-6.00211,-60.18697
"Pipile_cujubi",-16.59803,-56.75267
"Pipile_cujubi",-9.63519,-55.93045
"Pipile_cujubi",-9.60181,-55.92363
"Pipile_cujubi",-9.9263,-56.30877
"Pipile_cujubi",-9.60272,-55.92909
"Pipile_cujubi",-9.68957,-56.63765
"Pipile_cujubi",-9.60079,-55.92284
"Pipile_cujubi",-9.55855,-55.91302
"Pipile_cujubi",-9.83543,-50.35678
"Pipile_cujubi",-9.59879,-55.93221
"Pipile_cujubi",-19.57481,-57.03807
"Pipile_cujubi",-4.64467,-56.58555
"Pipile_cujubi",-16.50308,-56.74533
"Pipile_cujubi",-9.4518,-55.83233
"Pipile_cujubi",-16.51312,-56.3778
"Pipile_cujubi",-16.75811,-56.87723
"Pipile_cujubi",-19.75927,-55.21814
"Pipile_cujubi",-17.40896,-56.83245
"Pipile_cujubi",-9.61251,-55.9344
"Pipile_cujubi",-16.32187,-56.64062
"Pipile_cujubi",-16.46416,-56.69057
"Pipile_cujubi",-2.9217,-54.95074
"Pipile_cujubi",-6.06071,-50.06077
"Pipile_cujubi",-8.4942,-60.96215
"Pipile_cujubi",-17.25912,-56.90775
"Pipile_cujubi",-9.63813,-55.93655
"Pipile_cujubi",-16.75011,-56.85837
"Pipile_cujubi",-9.87788,-56.0866
"Pipile_cujubi",-9.63441,-55.92791
"Pipile_cujubi",-9.65063,-55.92154
"Pipile_cujubi",-9.56041,-55.91579
"Pipile_cujubi",-9.64164,-55.92588
"Pipile_cujubi",-9.59482,-55.93028
"Pipile_cujubi",-9.63611,-55.93816
"Pipile_cujubi",-17.11743,-56.92916
"Pipile_cujubi",-16.78421,-56.84402
"Pipile_cujubi",-9.89314,-54.36989
"Pipile_cujubi",-9.73255,-50.32525
"Pipile_cujubi",-6.04428,-50.56355
"Pipile_cujubi",-17.29922,-56.83813
"Pipile_cumanensis",-18.10555,-63.59848
"Pipile_cumanensis",4.15833,-59.06153
"Pipile_cumanensis",-0.43973,-76.28034
"Pipile_cumanensis",-0.63784,-76.15008
"Pipile_cumanensis",-12.6323,-71.24016
"Pipile_cumanensis",-20.08577,-56.61538
"Pipile_cumanensis",4.18618,-59.0625
"Pipile_cumanensis",-12.82957,-71.37732
