sp,lat,long
"Isothrix_barbarabrownae",-13.100533,-71.56875
"Carterodon_sulcidens",-19.6347,-43.8927
"Clyomys_laticeps",-15.78333,-47.91667
"Clyomys_laticeps",-19.86556,-47.43972
"Clyomys_laticeps",-22.71667,-56.3
"Clyomys_laticeps",-22.9,-47.06
"Clyomys_laticeps",-19.6347,-43.8927
"Clyomys_laticeps",-18.95,-56.466667
"Clyomys_laticeps",-17.56972,-52.55083
"Dactylomys_boliviensis",-12.77172,-71.38547
"Dactylomys_boliviensis",-13.02362,-71.49185
"Dactylomys_boliviensis",-11.7667,-73.3258
"Dactylomys_boliviensis",-15.73583,-67.51278
"Dactylomys_boliviensis",-8.6,-72.85
"Dactylomys_boliviensis",-15.73333,-67.51667
"Dactylomys_boliviensis",-15.43333,-67.31667
"Dactylomys_boliviensis",-11.08,-68.89
"Dactylomys_boliviensis",-12.88,-69.28
"Dactylomys_boliviensis",-13.1333,-71.3333
"Dactylomys_boliviensis",-11.88865,-71.40666
"Dactylomys_boliviensis",-15.31667,-67.46667
"Dactylomys_boliviensis",-14.18333,-69.16667
"Dactylomys_boliviensis",-13.26667,-70.63333
"Dactylomys_boliviensis",-11.16667,-73.06667
"Dactylomys_dactylinus",-12.78,-71.38
"Dactylomys_dactylinus",-13.13,-71.17
"Dactylomys_dactylinus",-7.77,-74.9
"Dactylomys_dactylinus",-13.142,-69.607
"Dactylomys_dactylinus",-12.838,-69.295
"Dactylomys_dactylinus",-13,-69.083
"Dactylomys_dactylinus",-3.28333,-66.23333
"Dactylomys_dactylinus",-10.954,-66.833
"Dactylomys_dactylinus",-10.9567,-66.8333
"Dactylomys_dactylinus",-3.65,-52.37
"Dactylomys_dactylinus",-3.473,-72.676
"Dactylomys_dactylinus",-0.42,-76.07
"Dactylomys_dactylinus",-0.38,-76.63
"Dactylomys_dactylinus",-1.19,-77.35
"Dactylomys_dactylinus",0.08,-76.98
"Dactylomys_dactylinus",-8.25,-74.717
"Dactylomys_dactylinus",-12.667,-73.733
"Dactylomys_dactylinus",-10.133,-71.217
"Dactylomys_dactylinus",0.084,-76.989
"Dactylomys_dactylinus",-3.66667,-55.5
"Dactylomys_dactylinus",-2.76667,-57.81667
"Dactylomys_dactylinus",4.15,-73.61667
"Dactylomys_dactylinus",-8.3,-74.6
"Dactylomys_dactylinus",-1.0833,-77.95
"Dactylomys_dactylinus",-1.9167,-55.55
"Dactylomys_dactylinus",-1.91667,-55.55
"Dactylomys_dactylinus",-2.06667,-76.96667
"Dactylomys_dactylinus",4.0958,-73.4814
"Dactylomys_dactylinus",-11.9,-71.3667
"Dactylomys_dactylinus",-3.37,-52.69
"Dactylomys_peruanus",-11.56,-73.641
"Dactylomys_peruanus",-11.55972,-73.64111
"Dactylomys_peruanus",-11.5597,-73.6411
"Dactylomys_peruanus",-13.06306,-72.4537
"Dactylomys_peruanus",-15.317,-67.483
"Dactylomys_peruanus",-16.283,-67.833
"Diplomys_labilis",9.217,-80.017
"Diplomys_labilis",9.33,-79.62
"Diplomys_labilis",9.21667,-80.01667
"Diplomys_labilis",2.6374,-76.96193
"Diplomys_labilis",8.1,-76.71667
"Diplomys_labilis",7.85,-76.28333
"Diplomys_labilis",8.41667,-79
"Diplomys_labilis",9.15,-79.85
"Echimys_chrysurus",4.28,-58.52
"Echimys_chrysurus",3.25,-59.25
"Echimys_chrysurus",0.73683,-59.7027
"Echimys_chrysurus",-3.63,-52.37
"Echimys_chrysurus",-3.65,-52.37
"Echimys_chrysurus",4.93333,-52.33333
"Echimys_chrysurus",5.06667,-59.53333
"Echimys_chrysurus",2.35,-59.71667
"Echimys_chrysurus",3.11667,-56.45
"Echimys_semivillosus",9.4,-66.47
"Echimys_semivillosus",10.45,-63.95
"Echimys_semivillosus",10.98333,-74.8
"Echimys_semivillosus",7.07,-75.15
"Echimys_semivillosus",7.5,-74.87
"Echimys_semivillosus",8.5667,-67.5833
"Echimys_semivillosus",7.99,-75.2
"Echimys_semivillosus",5.66,-75.88
"Echimys_semivillosus",7.58,-75.35
"Euryzygomatomys_spinosus",-25.71485,-54.44653
"Euryzygomatomys_spinosus",-25.49267,-54.79512
"Euryzygomatomys_spinosus",-24.36667,-47.81667
"Euryzygomatomys_spinosus",-22.43333,-42.98333
"Euryzygomatomys_spinosus",-27.4838,-55.47811
"Euryzygomatomys_spinosus",-25.68029,-54.31929
"Euryzygomatomys_spinosus",-26.98333,-54.5
"Hoplomys_gymnurus",8.52908308319725,-81.1493530249085
"Hoplomys_gymnurus",8.53307287269799,-81.1484830136865
"Hoplomys_gymnurus",6.35203,-75.00811
"Hoplomys_gymnurus",5.72028,-76.62778
"Hoplomys_gymnurus",8.80189,-80.57811
"Hoplomys_gymnurus",5.66778,-76.57
"Hoplomys_gymnurus",8.68753,-79.92578
"Hoplomys_gymnurus",8.53325285891532,-81.150393058163
"Hoplomys_gymnurus",10.8610805735143,-85.3797564372504
"Hoplomys_gymnurus",5.57152,-77.50234
"Hoplomys_gymnurus",10.43,-84
"Hoplomys_gymnurus",10.36722,-84.05777
"Hoplomys_gymnurus",15.8833,-84.6833
"Hoplomys_gymnurus",3.8933,-77.0697
"Hoplomys_gymnurus",10.43333,-84
"Hoplomys_gymnurus",3.6,-76.87
"Hoplomys_gymnurus",10.3841092169528,-83.7327169850844
"Hoplomys_gymnurus",9.33,-79.95
"Hoplomys_gymnurus",12.171014505445,-84.3097343389221
"Hoplomys_gymnurus",9.1,-81.55
"Hoplomys_gymnurus",14.0209186455921,-84.6197455672672
"Hoplomys_gymnurus",14.36667,-83.65
"Hoplomys_gymnurus",8.47833,-78.4375
"Hoplomys_gymnurus",2.86667,-77.68333
"Hoplomys_gymnurus",4.66667,-77.25
"Hoplomys_gymnurus",4.75,-77.3
"Hoplomys_gymnurus",5.05,-76.95
"Hoplomys_gymnurus",3.73333,-76.95
"Hoplomys_gymnurus",7.33333,-76.43333
"Hoplomys_gymnurus",-0.97273,-77.07273
"Hoplomys_gymnurus",7.07,-75.15
"Hoplomys_gymnurus",7.18,-75.77
"Hoplomys_gymnurus",5.66,-75.88
"Hoplomys_gymnurus",5.97,-75.98
"Hoplomys_gymnurus",2.77017,-77.34628
"Isothrix_bistriata",-8.66667,-72.78333
"Isothrix_bistriata",-8.36667,-72.81667
"Isothrix_bistriata",-3.31667,-66.01667
"Isothrix_bistriata",-3.26667,-66.21667
"Isothrix_bistriata",-10.954,-66.833
"Isothrix_bistriata",-3.28333,-66.23333
"Isothrix_bistriata",-6.8,-70.7333
"Isothrix_bistriata",-6.83333,-70.08333
"Isothrix_bistriata",-6.75,-70.85
"Isothrix_bistriata",-6.46667,-68.7667
"Isothrix_bistriata",-6.58333,-68.93333
"Isothrix_bistriata",-12.6,-69.05
"Isothrix_bistriata",-4.28333,-74.31667
"Isothrix_bistriata",-4.022,-77.751
"Isothrix_bistriata",-3.45,-72.85
"Isothrix_bistriata",-4.83333,-76.66667
"Isothrix_bistriata",-3.75,-73.2
"Isothrix_bistriata",-3.76667,-73.51667
"Isothrix_bistriata",-4.83333,-74.21667
"Isothrix_bistriata",-8.3,-74.6
"Isothrix_bistriata",-6.66667,-69.86667
"Isothrix_bistriata",1,-70
"Isothrix_bistriata",-4.85000000,-65.26666667
"Isothrix_pagurus",-2.42,-59.83
"Isothrix_pagurus",-2.5,-55.16667
"Isothrix_pagurus",-2.5,-60
"Isothrix_sinnamariensis",2.17526,-56.78783
"Isothrix_sinnamariensis",3.51,-58.23
"Isothrix_sinnamariensis",1.37,-58.77
"Isothrix_sinnamariensis",3.73021,-53.42169
"Isothrix_sinnamariensis",-1.36666667,-58.76666667
"Kannabateomys_amblyonyx",-19.965,-40.54
"Kannabateomys_amblyonyx",-23.96,-46.33
"Kannabateomys_amblyonyx",-25.68029,-54.31929
"Kannabateomys_amblyonyx",-25.67896,-54.45537
"Kannabateomys_amblyonyx",-25.65185,-54.52068
"Kannabateomys_amblyonyx",-22.64,-44.56972
"Kannabateomys_amblyonyx",-23.41,-46.02972
"Kannabateomys_amblyonyx",-25.56667,-54.56667
"Kannabateomys_amblyonyx",-25.68955,-54.47476
"Kannabateomys_amblyonyx",-24.25,-47.75
"Kannabateomys_amblyonyx",-24.36667,-47.81667
"Kannabateomys_amblyonyx",-24.28333,-47.66667
"Kannabateomys_amblyonyx",-23.6,-46.61667
"Kannabateomys_amblyonyx",-24.16667,-47.76667
"Kannabateomys_amblyonyx",-24.36667,-47.83333
"Kannabateomys_amblyonyx",-24.33333,-47.61667
"Kannabateomys_amblyonyx",-26.46838,-53.89606
"Kannabateomys_amblyonyx",-25.83708,-54.24972
"Kannabateomys_amblyonyx",-25.93707,-54.25622
