sp,lat,lon
"Melipona_solari",19.432608,-99.133209
"Melipona_costaricaensis",9.934739,-84.087502
"Melipona_colimana",19.65258,-103.568
"Melipona_colimana",19.58505,-103.60538
"Melipona_illustris",-1.95567,-67.92994
"Melipona_illustris",-10.3239,-64.56415
"Melipona_illustris",-1.57028,-62.98167
"Melipona_illustris",3.8322,-51.836
"Melipona_illustris",3.83333,-51.83333
"Melipona_illustris",-19.00960,-57.65474
"Melipona_illustris",-7.31667,-62.93333
"Melipona_amazonica",-6.20710,-52.70280
"Melipona_amazonica",-7.31667,-62.93333
"Melipona_amazonica",-9.97000,-67.80000
"Melipona_amazonica",-3.40844,-56.40458
"Melipona_amazonica",-2.45251,-56.182
"Melipona_amazonica",-1.95567,-67.92994
"Melipona_amazonica",-1.74167,-51.45722
"Melipona_amazonica",-6.1042,-49.3553
"Melipona_amazonica",-7.29889,-50.44833
"Melipona_amazonica",-6.61,-51.94028
"Melipona_amazonica",-7.41639,-50.53944
"Melipona_amazonica",-6.16361,-50.7875
"Melipona_amazonica",-7.73222,-51.90361
"Melipona_amazonica",-6.40667,-50.56806
"Melipona_amazonica",-1.9049,-55.5182
"Melipona_amazonica",-1.90486,-55.51729
"Melipona_amazonica",-15.60000,-68.76670
"Melipona_asilvai",-15.6667,-43.5167
"Melipona_asilvai",-9.64056,-37.7025
"Melipona_asilvai",-9.64083,-37.58139
"Melipona_asilvai",-9.64056,-37.88361
"Melipona_asilvai",-9.55222,-37.93861
"Melipona_asilvai",-6.5844,-36.7744
"Melipona_asilvai",-9.72167,-37.96861
"Melipona_asilvai",-9.6075,-37.84306
"Melipona_asilvai",-9.3425,-37.97417
"Melipona_asilvai",-7.1,-34.86306
"Melipona_asilvai",-8.07333,-37.26417
"Melipona_asilvai",-7.74417,-36.085
"Melipona_asilvai",-9.4553,-40.8233
"Melipona_asilvai",-11.43333333,-40.76666667
"Melipona_beecheii",20.48822,-105.44847
"Melipona_beecheii",19.97808,-96.70401
"Melipona_beecheii",15.67407,-91.95515
"Melipona_beecheii",16.91399,-91.95614
"Melipona_beecheii",16.9156,-92.0483
"Melipona_beecheii",15.6653,-91.8618
"Melipona_beecheii",15.66123,-91.82008
"Melipona_beecheii",15.57402,-91.81413
"Melipona_beecheii",16.9474,-92.3578
"Melipona_beecheii",15.61016,-91.74186
