sp,lat,lon
"Rhinella_achavali",-28.33694,-49.62444
"Rhinella_achavali",-31.6,-56.02
"Rhinella_arenarum",-36.68389,-56.68574
"Rhinella_arenarum",-34.413,-58.91629
"Rhinella_arenarum",-38.14669,-65.9083
"Rhinella_arenarum",-34.40137,-53.78266
"Rhinella_arenarum",-34.41269,-58.91549
"Rhinella_arenarum",-31.80639,-64.991
"Rhinella_arenarum",-34.41323,-58.91585
"Rhinella_arenarum",-35.57918,-58.01369
"Rhinella_arenarum",-34.81454,-58.87629
"Rhinella_arenarum",-39.2111,-70.06511
"Rhinella_arenarum",-33.02634,-68.90462
"Rhinella_arenarum",-26.81,-65.31
"Rhinella_arenarum",-23.81,-66.93
"Rhinella_arenarum",-27.6,-66.31
"Rhinella_arenarum",-29.25,-50.23333
"Rhinella_arenarum",-32.5,-52.58333
"Rhinella_arenarum",-25,-64.5
"Rhinella_arenarum",-26.8167,-65.4681
"Rhinella_arenarum",-33.4,-69.21
"Rhinella_arenarum",-40.36,-70.72
"Rhinella_arenarum",-32.035,-52.09833
"Rhinella_arenarum",-43.25,-65.3
"Rhinella_arenarum",-20.24556,-46.36556
"Rhinella_arenarum",-44.79678,-65.71104
"Rhinella_arenarum",-43.2833,-65.4833
"Rhinella_arenarum",-22.6833,-64.6833
"Rhinella_arenarum",-34.03333,-53.55
"Rhinella_arenarum",-26.77,-65.23
"Rhinella_arenarum",-30.35,-66.34
"Rhinella_arenarum",-28.4,-66.21
"Rhinella_arenarum",-30.35,-66.36
"Rhinella_arenarum",-30.35,-66.35
"Rhinella_arenarum",-27.6,-66.37
"Rhinella_arenarum",-27.01679,-65.61398
"Rhinella_arenarum",-27.0418,-65.60243
"Rhinella_arenarum",-28.14501,-65.65882
"Rhinella_arenarum",-26.6833,-65.2667
"Rhinella_arenarum",-34.79,-56.35
"Rhinella_arenarum",-27.38,-65.96
"Rhinella_arenarum",-28.66,-66.56
"Rhinella_arenarum",-28.31,-69.21
"Rhinella_arenarum",-28.13,-65.35
"Rhinella_arenarum",-27.66,-67
"Rhinella_arenarum",-34.76,-56.38
"Rhinella_arenarum",-26.81667,-65.21667
"Rhinella_arenarum",-31.4,-64.1833
"Rhinella_arenarum",-32.85,-68.81
"Rhinella_arenarum",-21.51667,-64.75
"Rhinella_arenarum",-30.08,-51.02
"Rhinella_arenarum",-29.63,-49.96
"Rhinella_arenarum",-29.96,-50.13
"Rhinella_arenarum",-29.88694,-50.26944
"Rhinella_arenarum",-29.96667,-50.13333
"Rhinella_arenarum",-29.33556,-49.72667
"Rhinella_arenarum",-32.8833,-68.8167
"Rhinella_arenarum",-39.85,-69.7333
"Rhinella_arenarum",-34.74961,-68.36768
"Rhinella_arenarum",-27.45,-58.98
"Rhinella_arenarum",-31.53,-60.53
"Rhinella_arenarum",-22.5,-59.73333
"Rhinella_arenarum",-29.35,-49.73333
"Rhinella_arenarum",-34.6,-58.63333
