sp,lat,lon
"Rhinophylla_alethina",5.667778,-76.57
"Rhinophylla_alethina",3.85498,-76.781179
"Rhinophylla_alethina",5.34295,-76.62873
"Rhinophylla_alethina",-1.355944,-78.72425
"Rhinophylla_alethina",1.072583,-78.7115
"Rhinophylla_alethina",1.072583,-78.7115
"Rhinophylla_alethina",5.667778,-76.57
"Rhinophylla_alethina",1.6667,-78.15
"Rhinophylla_alethina",5.667778,-76.57
"Rhinophylla_alethina",5.34295,-76.62873
"Rhinophylla_alethina",5.571519,-77.502336
"Rhinophylla_alethina",5.79919,-76.54019
"Rhinophylla_alethina",0.9,-78.55
"Rhinophylla_alethina",-0.617,-79.85
"Rhinophylla_alethina",-0.033,-79.967
"Rhinophylla_alethina",4.94413,-76.2962
"Rhinophylla_alethina",0.28974,-79.31155
"Rhinophylla_alethina",0.05,-78.233
"Rhinophylla_alethina",2.666667,-77.2
"Rhinophylla_alethina",3.8933,-77.0697
"Rhinophylla_fischerae",-4.89927,-73.65011
"Rhinophylla_fischerae",-0.66,-76.45
"Rhinophylla_fischerae",-1.065833,-77.6175
"Rhinophylla_fischerae",3.654355,-73.609219
"Rhinophylla_fischerae",4.267317,-54.73945
"Rhinophylla_fischerae",4.267317,-54.73945
"Rhinophylla_fischerae",-0.83,-76.35
"Rhinophylla_fischerae",-0.65,-76.45
"Rhinophylla_fischerae",-0.63,-76.47
"Rhinophylla_fischerae",-0.75,-76.77
"Rhinophylla_fischerae",-0.65,-76.45
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.65,-76.45
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.63,-76.45
"Rhinophylla_fischerae",-0.68,-76.4
"Rhinophylla_fischerae",-0.65,-76.45
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.68,-76.4
"Rhinophylla_fischerae",3.8368,-73.84555
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.65,-76.45
"Rhinophylla_fischerae",-0.65,-76.45
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.65,-76.45
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.68,-76.43
"Rhinophylla_fischerae",-0.65,-76.45
"Rhinophylla_fischerae",-0.65,-76.45
"Rhinophylla_fischerae",-4.67200997170687,-73.9588463387222
"Rhinophylla_fischerae",-2.58152193467238,-76.1161754933604
"Rhinophylla_fischerae",-4.67200997170687,-73.9588463387222
"Rhinophylla_fischerae",-2.58152193467238,-76.1161754933604
"Rhinophylla_fischerae",-2.58152193467238,-76.1161754933604
"Rhinophylla_fischerae",-2.58152193467238,-76.1161754933604
"Rhinophylla_fischerae",-4.67200997170687,-73.9588463387222
"Rhinophylla_fischerae",-4.67200997170687,-73.9588463387222
"Rhinophylla_fischerae",-4.67200997170687,-73.9588463387222
