sp,nd2,cytb,coi,nd5,cltcl1,eef2,tfb5,rho,serpinb14,cltc
Numida_meleagris,NA,KF833637,NA,NA,EU302774,EU738650,NA,EU737246,KC749887,KC749599
Megapodius_layardi,NA,KF833615,NA,NA,KF833495,FJ881844,NA,NA,KC749932,KC749598
Ptilopachus_petrosus,DQ768289,AM236886,NA,KR732873,NA,KR732890,NA,NA,KR732792,KR732672
Rollulus_rouloul,KR732854,EF571185,NA,NA,JF497007,EU738688,NA,EU737280,KC749947,NA
Tympanuchus_phasianellus,AF230127,AF230181,DQ434206,NA,KC749662,KC749714,NA,NA,KC749906,KC749617
Coturnix_japonica,NA,DQ515818,GQ481652,NA,KC749626,KC749691,NA,DQ402463,KC749869,KC749581
Callipepla_californica,KR732836,AB120131,JN850719,KR732862,NA,KR732885,NA,KR732764,KR732783,KR732687
Colinus_virginianus,KR732833,EU372675,NA,KR732859,KC749627,KR732887,NA,KR732765,KR732785,KR732685
Gallus_gallus,KF792740,EU839454,JF498860,NA,EU302770,EU738569,NA,AB496228,NM_205152,KC749587
Meleagris_gallopavo,AF222556,HQ122602,DQ433017,NA,KC749642,FJ881856,NA,NA,NM_001303190,KC749597
Oreophasis_derbianus,NA,AY659805,AF165495,AY140759,KX345905,KX356290,KX356206,KX356149,KX356174,KX345877
Ortalis_vetula,KX356238,L08384,KX356279,KX356262,KX345911,NA,KX356214,KX356156,KX356180,KC749601
Ortalis_leucogastra,NA,NA,NA,NA,KX345908,KX356306,KX356211,KX356153,KX356177,KX345880
Ortalis_poliocephala,KX356257,AY659784,KX356278,KX356261,KX345910,KX356293,KX356213,KX356155,KX356179,NA
Ortalis_wagleri,KX356239,NA,KX356280,NA,KF833519,KX356296,KX356215,NA,KX356181,KX345883
Chamaepetes_unicolor,KX356231,AY659796,JQ174405,NA,KX345897,NA,KX356198,NA,KX356168,NA
Penelopina_nigra,NA,AY354492,AF165499,AY140757,KX345923,KX356302,KX356227,KX356164,KX356192,NA
Chamaepetes_goudotii,AY140741,AY659795,JN801554,AY140755,NA,NA,KX356197,NA,NA,NA
Penelope_argyrotis,NA,AY659803,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_barbata,KX356252,NA,JN801892,NA,NA,NA,NA,NA,NA,NA
Penelope_montagnii,KX356245,AY659802,KX356283,KX356267,KX345918,KX356305,KX356222,KX356161,KX356188,KX345890
Penelope_marail,KX356244,KX356277,JQ175713,KX356266,KX345917,NA,KX356221,KX356160,KX356187,KX345889
Penelope_superciliaris,AY367090,AY659804,KX356284,NA,KX345922,NA,KX356226,KX356163,KX356191,KX345892
Penelope_jacquacu,NA,AY659801,JQ175710,NA,NA,NA,NA,NA,NA,NA
Penelope_purpurascens,AY367097,AY659800,JQ175718,KX356269,KF833521,KF833695,KX356225,NA,KX356190,NA
Penelope_albipennis,KX356240,NA,JN801891,NA,KX345914,KX356297,KX356217,NA,KX356183,KX345885
Penelope_obscura,AY140742,AF165474,JQ175715,AY140756,KX345919,KX356301,KX356223,NA,NA,NA
Penelope_pileata,KX356247,NA,JQ175717,KX356268,KX345920,KX356300,KX356224,KX356162,KX356189,KX345891
Penelope_ochrogaster,AY367089,AY367101,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_dabbenei,KX356241,KX356275,KX356281,KX356263,KX345915,KX356303,KX356218,KX356158,KX356184,KX345886
Penelope_jacucaca,KX356243,KX356276,KX356282,KX356265,KX345916,KX356298,KX356219,KX356159,KX356185,KX345887
Pipile_pipile,AY367094,AY367106,JQ175861,NA,KX345925,KX356299,KX356229,KX356166,KX356195,KX345895
Pipile_cumanensis,AY367099,AY659798,NA,KX356271,KX345924,NA,NA,NA,KX356194,KX345894
Pipile_cujubi,AY367092,AY659799,NA,KX356270,NA,NA,KX356228,KX356165,KX356193,KX345893
Pipile_jacutinga,AY140744,AF165476,AF165500,AY140758,NA,NA,NA,NA,NA,NA
Aburria_aburri,AY140740,AY354489,JN801479,AY140754,KX345896,NA,KX356196,KX356143,KX356167,NA
Ortalis_cinereiceps,KX356253,KX356273,KF799991,KX356258,KX345907,KX356295,KX356209,KX356151,KX356176,KX345879
Ortalis_garrula,NA,AY659780,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_ruficauda,NA,AY659781,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_canicollis,AY140746,AF165472,AF165496,AY140760,KX345906,KX356291,KX356208,KX356150,KX356175,KX345878
Ortalis_guttata,KX356237,AY659782,NA,KX356259,NA,KX356292,KX356210,KX356152,NA,NA
Ortalis_motmot,NA,AY659778,KF446138,KX356260,KX345909,KX356307,KX356212,KX356154,KX356178,KX345881
Ortalis_erythroptera,KX356256,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nothocrax_urumutum,AY140749,AY354488,KM896479,AY140763,KX345904,KX356289,KX356205,NA,NA,KX345876
Crax_rubra,AY952746,AY659793,AY141915,AY141965,KX345902,KX356308,KX356203,KX356147,KX356172,KC749583
Crax_alberti,AY141930,AY141920,AY141910,AY141960,KX345898,NA,KX356199,KX356144,KX356169,KX345872
Crax_daubentoni,AY141932,AY141922,AY141912,AY141962,KX345899,KX356285,KX356200,KX356145,KX356170,NA
Crax_alector,AY141931,EF571188,JQ174569,AY141961,EU302762,EU738611,NA,EU737204,NA,EU302719
Crax_globulosa,AY141934,AY141924,AY141914,NA,KX345901,NA,KX356202,KX356146,KX356171,KX345873
Crax_fasciolata,AY141933,AY659790,JQ174570,NA,KX345900,KX356286,KX356201,NA,NA,NA
Crax_blumenbachii,AY140747,AY659791,AF165492,AY140761,NA,NA,NA,NA,NA,NA
Mitu_tomentosum,AY141938,AY659787,JQ175400,AY141968,NA,NA,NA,NA,NA,NA
Mitu_salvini,AY141937,AY659785,EU525438,AY141967,NA,NA,NA,NA,NA,NA
Mitu_tuberosum,AY140748,AY354484,EU525441,AY140762,KX345903,KX356287,KX356204,KX356148,KX356173,KX345875
Mitu_mitu,AY141936,AY098552,AY141916,AY141966,NA,NA,NA,NA,NA,NA
Pauxi_pauxi,AY140750,AY354486,AF165497,AY140764,NA,KX356288,KX356216,KX356157,KX356182,KX345884
Pauxi_unicornis,AY141939,AY659786,AY141919,AY141969,NA,NA,NA,NA,NA,NA
