sp,cytb,rag2,nd2,coi,plcb4,atp7,bdnf,thy
Rhinophylla_alethina,AF187027,NA,NA,JF449072,NA,NA,NA,NA
Rhinophylla_fischerae,AF187032,KF569351,NA,JF449110,KF569329,NA,NA,KF569455
Carollia_subrufa,AF187024,NA,NA,JF448015,KM362009,NA,NA,NA
Carollia_castanea,AF512006,FN641676,NA,JF448773,KF569314,NA,KF569466,KF569450
Glyphonycteris_sylvestris,AY380746,AF316471,NA,KX910802,KM362017,NA,NA,NA
Trinycteris_nicefori,AY380749,AF316469,NA,JF456028,KC783108,NA,KC783000,KC783252
Lonchophylla_hesperia,KF815310,KM362062,NA,NA,KM362022,NA,KM361983,NA
Lonchophylla_dekeyseri,NA,NA,NA,NA,KM362021,KM361948,KM361982,NA
Lionycteris_spurrelli,KF815304,AF316455,NA,JF454738,KC783075,NA,KC782968,KC783226
Platalina_genovensium,KF815311,NA,NA,NA,NA,NA,NA,NA
Lonchophylla_chocoana,AF423092,NA,NA,JF448854,KF569321,NA,KF569473,KF569453
Lonchophylla_mordax,AF423095,KC783116,NA,JF448855,KM362020,NA,NA,NA
Centurio_senex,AY604444,AF316438,NA,JF447241,KF569315,NA,NA,KM362119
Sturnira_lilium,DQ312398,KC754302,KC753968,JF459281,KC783105,KC783048,KC782996,KC783248
Sturnira_tildae,KC753897,DQ903847,NA,JF455952,KF569331,KF569434,KF569480,KF569452
Sturnira_ludovici,KC753807,KC754272,KC753925,JN659773,KF569334,KF569432,NA,NA
Sturnira_luisi,KC753815,KC754280,KC753933,JN659882,KM362042,NA,KM361996,KM362139
Sturnira_erythromos,FJ154179,FJ154377,FJ154245,JN659617,NA,NA,NA,NA
Sturnira_parvidens,KC753873,KC754337,KC753994,KX756039,NA,NA,NA,NA
Sturnira_magna,KC753820,KC754283,KC753938,JN659896,KF569332,KF569433,NA,NA
Sturnira_bidens,AF435200,NA,KC753900,JN659567,NA,NA,NA,NA
Sturnira_oporaphilum,KC753855,KC754318,KC753975,NA,KM362043,KM361963,KM361997,KM362140
Sturnira_hondurensis,KC753827,KC754288,KC753946,NA,NA,NA,NA,NA
Sturnira_bogotensis,KC753787,KC754252,KC753905,NA,KF569333,KF569431,NA,KF569451
Sturnira_mordax,KC753824,KC754287,KC753943,NA,NA,NA,NA,NA
Sturnira_burtonlimi,NA,NA,NA,KX814421,NA,NA,NA,NA
Sturnira_adrianae,KY366229,NA,NA,NA,NA,NA,NA,NA
Sturnira_perla,NA,NA,NA,JN659911,NA,NA,NA,NA
Sturnira_aratathomasi,AF435252,NA,KC753899,NA,NA,NA,NA,NA
Sturnira_nana,AF435252,NA,KC753899,NA,NA,NA,NA,NA
Uroderma_bilobatum,L28941,AF316491,NA,JF456031,NA,KC783052,NA,NA
Uroderma_magnirostris,AY169957,FJ154378,FJ154246,JF456032,KF569335,KF569435,KF569481,KF569449
Vampyriscus_bidens,FJ154181,FJ154379,FJ154247,JF456128,KM362046,NA,KM361999,KM362142
Vampyriscus_nymphaea,DQ312418,KF569357,NA,JF448146,KF569336,KF569436,KF569482,NA
Vampyriscus_brocki,DQ312421,KM362070,NA,JF456129,KM362047,KM361967,NA,NA
Vampyressa_thyone,DQ312431,KF569358,NA,JN312368,KF569337,KF569437,KF569483,KF569448
Vampyressa_melissa,FJ154185,FJ154383,FJ154251,NA,NA,NA,NA,EU371980
Vampyressa_pusilla,DQ312428,DQ903844,NA,JF448148,KM362048,KM361968,KM362000,EU371990
Chiroderma_villosum,L28943,FJ154319,FJ154187,JF454586,NA,NA,NA,EU371975
Chiroderma_trinitatum,L28942,KF569345,NA,JF454562,KF569316,NA,NA,NA
Chiroderma_doriae,AY169958,KM362056,NA,JF448016,KM362010,KM361941,KM361977,NA
Chiroderma_salvini,L28939,KM362058,NA,JF446777,KM362012,KM361943,KM361979,KM362121
Chiroderma_improvisum,L28938,KM362057,NA,NA,KM362011,KM361942,KM361978,KM362120
Mesophylla_macconnelli,FJ154122,FJ154320,AY504555,JF454947,KF569324,NA,NA,EU371977
Vampyrodes_caraccioli,FJ154184,FJ154382,FJ154250,JF456147,KC783110,KC783053,KC783002,EU371991
Vampyrodes_major,HQ637422,NA,NA,NA,NA,NA,NA,NA
Platyrrhinus_helleri,FJ154141,FJ154339,FJ154206,JF455411,KC783100,KC783043,KC782991,KC783244
Platyrrhinus_aurarius,FJ154129,FJ154327,FJ154195,JF455410,KM362031,KM361955,KM361988,KM362131
Platyrrhinus_lineatus,FJ154173,FJ154358,FJ154226,JF446382,KM362035,KM361959,KM361991,KF569447
Platyrrhinus_infuscus,FJ154151,FJ154349,FJ154217,JF449066,KF569326,NA,NA,NA
Platyrrhinus_dorsalis,FJ154139,FJ154337,FJ154205,NA,KM362032,KM361956,KM361989,KM362132
Platyrrhinus_recifinus,FJ154176,FJ154374,FJ154242,JF446385,KM362036,KM361960,KM361992,KM362136
Platyrrhinus_brachycephalus,FJ154132,FJ154330,FJ154198,JF447853,KF569327,KF569428,KF569477,KF569446
Platyrrhinus_guianensis,KJ576932,KJ576959,KJ576941,NA,NA,NA,NA,NA
Platyrrhinus_ismaeli,FJ154155,FJ154353,FJ154221,NA,KM362034,KM361958,KM361990,KM362134
Platyrrhinus_matapalensis,FJ154168,FJ154366,FJ154234,NA,NA,NA,NA,KM362135
Platyrrhinus_masu,FJ154164,FJ154362,FJ154230,NA,NA,NA,NA,NA
Platyrrhinus_albericoi,FJ154124,FJ154322,FJ154190,NA,KM362030,KM361954,KM361987,KM362130
Platyrrhinus_vittatus,FJ154178,FJ154376,FJ154243,JF446602,KM362037,NA,NA,NA
Platyrrhinus_incarum,FJ154147,FJ154344,FJ154213,NA,KM362033,KM361957,KM381957,KM362133
Platyrrhinus_nigellus,FJ154173,FJ154371,FJ154239,NA,KM362035,KM361959,KM361991,NA
Enchisthenes_hartii,EU160972,AF316449,NA,JF447409,KC783070,KC783016,KC782964,KC783222
Ectophylla_alba,DQ312404,AF316448,NA,JF446595,NA,KF569420,KF569469,KF569445
Sphaeronycteris_toxophyllum,AY604452,AF316486,NA,NA,KF569330,KF569430,KF569479,NA
Pygoderma_bilabiatum,AY604438,DQ903839,NA,NA,KC783103,KC783046,KC782994,KC783247
Ametrida_centurio,AY604446,AF316430,NA,JF452119,KF569308,KF569409,NA,NA
Ardops_nichollsi,KJ024748,AF316434,NA,NA,NA,NA,NA,KF569438
Ariteus_flavescens,KJ024703,AF316435,NA,NA,KM362003,KF569410,NA,KM362113
Stenoderma_rufum,DQ312400,AF316487,NA,NA,NA,NA,NA,EU371963
Phyllops_falcatus,DQ211651,AY604453,NA,NA,NA,NA,NA,NA
Artibeus_lituratus,EU160833,DQ985529,NA,EU161033,KC783061,NA,KC782955,EU371964
Artibeus_jamaicensis,DQ869504,FN641674,NA,JF459376,KC783060,AY011419,KC782954,AJ865664
Artibeus_planirostris,AY684720,NA,NA,EU161056,NA,NA,NA,NA
Artibeus_obscurus,EU160865,NA,NA,EU161044,KC783062,NA,KC782956,KC783217
Artibeus_glaucus,EU160970,KF569339,NA,EU160995,KF569310,KF569414,KF569463,KF569444
Artibeus_cinereus,EU160687,AF316443,NA,EU160983,KM362004,KF569412,KF569461,KF569440
Artibeus_schwartzi,DQ869521,NA,NA,NA,NA,NA,NA,NA
Artibeus_intermedius,FJ179231,KM362055,NA,JF447942,KM362008,KM361940,KM361976,KM362118
Artibeus_phaeotis,FJ179248,KF569340,NA,JF498954,KF569313,KF569415,KF569464,KF569442
Artibeus_concolor,EU160951,AF316432,NA,EU160986,KF569309,KF569413,KF569462,KF569443
Artibeus_bogotensis,EU805596,NA,NA,JN312365,NA,NA,NA,NA
Artibeus_fimbriatus,EU160723,DQ985533,NA,EU160992,KM362005,KM361937,KM361973,KM362114
Artibeus_toltecus,FJ179258,NA,NA,KX814389,KM362013,NA,NA,KM362143
Artibeus_amplus,EU160947,NA,NA,EU160974,NA,NA,NA,NA
Artibeus_anderseni,EU160967,NA,NA,EU160976,KF569311,KF569411,KF569460,KF569439
Artibeus_fraterculus,EU160955,KM362052,NA,EU160994,KM362006,KM361938,KM361974,KM362115
Artibeus_aztecus,FJ179238,NA,NA,JF447913,NA,NA,NA,NA
Artibeus_hirsutus,FJ179226,AF316433,NA,NA,NA,KC783007,NA,NA
Artibeus_inopinatus,FJ179229,NA,NA,NA,NA,NA,NA,KM362117
Artibeus_incomitata,NA,KM362054,NA,NA,KM362007,KM361939,KM361975,KM362116
Rhinophylla_pumilio,AF187031,AF316484,NA,JF455665,KC783104,KC783047,KC782995,EU371960
