sp,cytb,rag1,16s,12s,ghr,coi,vwf
Capromys_pilorides,AF422915,KM013988,KM013971,KM013959,AF433950,NA,AJ251142
Myocastor_coypus,EU544663,JN414955,AY011155,AY012123,NA,NA,AJ251140
Chinchilla_lanigera,AF244382,KF590658,AY062170,AF520696,AY701337,GU130595,NA
Ctenomys_boliviensis,AF007040,NA,NA,U12446,JN414757,JQ341048,NA
Octodontomys_gliroides,AF370706,KF590663,NA,AF520684,AF520664,GQ121084,KF590672
Octodon_bridgesi,KJ742651,KJ742676,NA,AF520677,AF520646,NA,KJ742611
Abrocoma_cinerea,AF244388,NA,NA,AF520666,AF520643,NA,NA
Abrocoma_bennettii,AF244387,NA,NA,NA,FJ855213,NA,JN415073
Dactylomys_boliviensis,L23339,EU313299,AF422909,AF422875,KF590679,NA,AJ849307
Dactylomys_dactylinus,L23335,EU313301,AF422908,AF422874,KF590681,NA,KF590667
Dactylomys_peruanus,EU313207,NA,NA,NA,NA,NA,NA
Kannabateomys_amblyonyx,AF422917,NA,AF422884,AF422850,NA,NA,AJ849310
Olallamys_albicauda,KF590697,NA,NA,NA,KF590691,NA,KF590673
Callistomys_pictus,KJ742659,KJ742677,NA,KJ742594,KJ742627,NA,KJ742614
Diplomys_labilis,KJ742660,KJ742685,NA,NA,KJ742636,NA,KJ742613
Diplomys_rufodorsalis,KJ742664,NA,NA,NA,NA,NA,NA
Echimys_chrysurus,L23341,EU313303,AF422911,AY093663,FJ855215,JF458603,AJ251141
Echimys_semivillosus,KJ742662,KJ742687,NA,NA,NA,JF458604,KJ742616
Isothrix_bistriata,L23355,EU313311,AF422907,AF422873,FJ855216,NA,AJ849308
Isothrix_negrensis,EU313221,NA,NA,NA,NA,NA,NA
Isothrix_pagurus,EU313226,KF590661,NA,KF590703,KF590684,NA,KF590670
Isothrix_sinnamariensis,AY745734,EU313313,NA,KF590704,KF590686,JF458606,AJ849309
isothrix_barbarabrownae,EU313214,EU313304,NA,KF590701,KF590682,NA,KF590668
Isothrix_orinoci,EU313225,KF590660,NA,KF590702,KF590683,NA,KF590669
Makalata_didelphoides,L23363,EU313320,AF422912,KJ742600,KJ742639,JF458629,JF297707
Makalata_grandis,KF590699,EU313336,NA,NA,KF590694,NA,KF590676
Makalata_macrura,EU302703,EU313330,AF422913,AF422879,KF590687,NA,AJ849312
Makalata_occasius,KJ742661,NA,NA,NA,KJ742637,NA,NA
