Specie,cytb,rhod,16s,12s-trna-val-16s,rag1,pomc
Anaxyrus_americanus,AB159264,NA,KF665122,DQ158426,KJ609650,DQ158268
Anaxyrus_woodhousii,AY288067,NA,NA,DQ158498,KJ609653,DQ158339
Anaxyrus_cognatus,NA,NA,NA,DQ158444,KJ609656,DQ158285
Anaxyrus_exsul,NA,NA,NA,AY325990,DQ158372,DQ158291
Cranopsis_coccifer,HM563944,NA,AY927856,DQ158443,KJ609669,DQ158284
Cranopsis_coniferus,HM563945,NA,FJ784601,DQ158445,HM563988,DQ158286
Cranopsis_valliceps,AY008230,NA,AY008229,DQ158493,KJ609665,DQ158334
Cranopsis_alvarius,HM563933,NA,HM563860,DQ158425,KJ609663,DQ158267
Bufo_bufo,AB159262,NA,AY555021,DQ158438,AY583336,KT239445
Bufo_andrewsi,AF174502,NA,AF160782,DQ158428,DQ158353,DQ158270
Amietophrynus_gracilipes,NA,NA,NA,DQ158456,DQ158378,DQ158297
Amietophrynus_regularis,NA,NA,KX671722,DQ158485,KJ609677,DQ158326
Amietophrynus_maculatus,NA,NA,NA,DQ158469,KJ609678,DQ158311
Duttaphrynus_melanostictus,AY247259,NA,NA,DQ158475,KJ609681,KU183158
Schismaderma_carens,NA,NA,KF665363,DQ158424,KF666220,DQ158266
Ingerophrynus_macrotis,NA,NA,NA,DQ158468,KF666244,KU183150
Peltophryne_lemur,NA,NA,U52787,DQ158465,DQ158386,DQ158306
Rhaebo_haematiticus,HM563930,NA,KR863345,DQ158461,KJ609683,DQ158302
Rhaebo_nasicus,NA,NA,NA,DQ158477,DQ158396,DQ158319
Nannophryne_cophotis,NA,NA,NA,DQ158446,DQ158369,DQ158287
Dendrophryniscus,KX025647,NA,KU495200,AY326000,DQ503337,AY819081
Melanophryniscus_klappenbachi,DQ502444,DQ283765,NA,AY843699,AY844478,KP295580
Melanophryniscus_stelzneri,NA,NA,U52782,DQ158421,KF666223,DQ158263
Rhinella_achavali,KC567990,HM159237,GU178798,GU178787,NA,NA
Rhinella_amboroensis,NA,DQ284003,NA,DQ283386,NA,NA
Rhinella_arenarum,HM159228,AY844547,GU178796,DQ158429,AY844370,DQ158271
Rhinella_arequipensis,NA,NA,NA,DQ158430,DQ158355,DQ158272
Rhinella_arunco,KC817199,NA,NA,DQ158442,DQ158365,DQ158283
Rhinella_atacamensis,KC778243,NA,NA,DQ158433,JX442329,DQ158275
Rhinella_azarai,KP684987,KP685164,NA,KP685186,KP685115,KP685079
Rhinella_bergi,KP684990,KP685165,NA,KP685189,KP685118,KP685084
Rhinella_bernardoi,KP684991,KP685166,NA,KP685194,KP685120,KP685086
Rhinella_castaneotica,NA,NA,KU495498,DQ158440,DQ158364,DQ158282
Rhinella_centralis,KP684992,KP685167,JN021325,KP685195,KP685122,KP685087
Rhinella_cerradensis,HM159232,HM159238,NA,NA,NA,NA
Rhinella_crucifer,HM159226,KC199966,KU495502,DQ158447,KJ609675,KJ532293
Rhinella_dapsilis,NA,NA,KR012641,DQ158448,DQ158370,NA
Rhinella_dorbignyi,KP684994,KP685168,NA,KP685199,KP685123,KP685090
Rhinella_fernandezae,KP684997,KP685169,NA,KP685202,KP685124,KP685092
Rhinella_festae,NA,NA,KR012624,DQ158423,DQ158349,DQ158265
Rhinella_granulosa,KP685002,KP685172,GU178800,KP685209,KP685129,KP685098
Rhinella_henseli,NA,KC199854,NA,KP685183,KP685113,KP685077
Rhinella_humboldti,NA,KP685173,KP149488,KP685211,KP685131,KP685099
Rhinella_icterica,HM159230,HM159240,KU495510,DQ158462,NA,DQ158303
Rhinella_jimi,HM159234,HM159241,GU178795,GU178784,NA,NA
Rhinella_limensis,NA,NA,NA,DQ158466,NA,DQ158307
Rhinella_major,KP685008,KP685175,JF790180,KP685219,KP685135,KP685105
Rhinella_manu,NA,NA,NA,NA,DQ404395,DQ404396
Rhinella_margaritifera,JX298409,HM159242,KR012628,NA,HM563975,AY819080
Rhinella_marina,KR011949,DQ283789,KR012644,DQ158474,DQ158392,DQ158316
Rhinella_merianae,KP685010,KP685176,NA,KP685222,KP685137,KP685107
Rhinella_mirandaribeiroi,KP685012,KP685177,KF723018,KP685228,KP685140,KP685109
Rhinella_nesiotes,NA,NA,NA,DQ158478,DQ158397,DQ158320
Rhinella_ocellata,NA,NA,JN867572,DQ158479,DQ158398,DQ158321
Rhinella_ornata,NA,KC199963,KU495531,NA,NA,NA
Rhinella_poeppigii,HM159233,HM159243,GU178790,DQ158481,KJ609674,KJ532292
Rhinella_pygmaea,KP685013,KP685181,NA,KP685229,KP685141,KP685110
Rhinella_rubescens,HM159229,HM159244,NA,DQ158486,NA,DQ158327
Rhinella_schneideri,HM159235,NA,JQ627202,DQ158480,KJ609673,DQ158322
Rhinella_spinulosa,NA,DQ283775,NA,DQ158487,KJ609676,DQ158328
Rhinella_sternosignata,NA,KP685163,NA,KP685184,KP685144,KP685078
Rhinella_vellardi,NA,NA,NA,DQ158495,DQ158411,DQ158336
Rhinella_veraguensis,NA,NA,NA,DQ158496,DQ158412,DQ158338
Rhinella_veredas,HM159231,HM159245,NA,NA,NA,NA
